mal_id,title,title_english,type,source,episodes,status,duration,rating,score,scored_by,rank,popularity,members,favorites,season,year,studios,genres,themes,demographics,engagement_score,score_tier,popularity_momentum,score_z,retention_proxy,airing_era
31580,Ajin,Ajin: Demi-Human,TV,Manga,13,Finished Airing,24 min per ep,R - 17+ (violence & profanity),7.38,306215,2501,389,611992,3272,winter,2016,Polygon Pictures,"Action, Horror, Mystery, Supernatural",Gore,Seinen,21.41793676401478,Good,1.9985631057815398,0.5840912067515878,0.005346466381151419,Streaming Revolution
42468,Zhandou Wang Zhi Jufeng Zhan Hun 5,Zhandou Wang Zhi Jufeng Zhan Hun 5,TV,Original,26,Finished Airing,23 min per ep,PG - Children,0.0,0,16656,19934,321,0,fall,2018,Alpha Animation,Action,None,Kids,5.771441123130016,Unscored,0.0,null,0.0,Global Expansion Era
58506,Harimaware! Koinu 2nd Season,Harimaware! Koinu 2nd Season,TV,Web manga,12,Finished Airing,4 min per ep,G - All Ages,0.0,0,18846,17616,493,0,summer,2024,Opera House,Comedy,Anthropomorphic,Unknown,6.20050917404269,Unscored,0.0,null,0.0,Modern Renaissance
31633,Sushi Police,Sushi Police,TV,Original,13,Finished Airing,3 min per ep,PG-13 - Teens 13 or older,4.65,5565,13877,5976,14295,16,winter,2016,KOO-KI,"Comedy, Gourmet, Mystery",Detective,Unknown,12.400878448812627,Below Average,2.568271649299317,-2.5249440107373813,0.001119194180190263,Streaming Revolution
46332,Shi Er Shengxiao: Long Xing Tianxia,Shi Er Shengxiao: Long Xing Tianxia,TV,Original,40,Finished Airing,15 min per ep,PG - Children,0.0,0,14574,25318,106,0,spring,2012,Unknown,Fantasy,None,Kids,4.663439094112067,Unscored,0.0,null,0.0,Digital Boom Era
57391,Astro Note,Astro Note,TV,Original,12,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,6.55,11307,6942,4265,32740,65,spring,2024,Telecom Animation Film,"Comedy, Romance, Sci-Fi",None,Unknown,14.586007592951551,Average,2.895295366112487,-0.3611466066241797,0.001985278397116765,Modern Renaissance
42654,Robocar Poli 3,Robocar Poli 3,TV,Original,26,Finished Airing,11 min per ep,PG - Children,5.73,122,11535,19855,327,1,winter,2014,Unknown,Comedy,Racing,Kids,6.483107351457199,Below Average,2.658536585365854,-1.2949960126098767,0.003048780487804878,Streaming Revolution
31790,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,Active Raid,TV,Original,12,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,5.85,22295,10914,3075,60816,53,winter,2016,Production IMS,"Action, Sci-Fi","Adult Cast, Mecha",Unknown,15.004592237793304,Below Average,2.727664155005382,-1.1583351239290438,8.71466859595179E-4,Streaming Revolution
36309,Butlers: Chitose Momotose Monogatari,Butlers x Battlers,TV,Original,12,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,5.66,6372,11847,4772,25553,43,spring,2018,SILVER LINK.,"Drama, Supernatural","School, Time Travel",Unknown,13.93269963948704,Below Average,4.009571630315393,-1.3747148643403635,0.0016827111215465288,Global Expansion Era
59744,Maebashi Witches,Maebashi Witches,TV,Original,12,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,6.99,2822,4541,6649,11009,40,spring,2025,Sunrise,"Drama, Fantasy",None,Unknown,13.020040465774713,Average,3.899752036840241,0.13994331853887815,0.0036330608537693005,Modern Renaissance
50891,Hoshi no Samidare,Lucifer and the Biscuit Hammer,TV,Manga,24,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,5.63,17568,11978,3020,62772,175,summer,2022,NAZ,"Action, Supernatural",Psychological,Seinen,16.217748388196764,Below Average,3.57288405714611,-1.4088800865105722,0.0027878227900530483,Modern Renaissance
32013,Oshiete! Galko-chan,Please tell me! Galko-chan,TV,Web manga,12,Finished Airing,7 min per ep,PG-13 - Teens 13 or older,7.0,80522,4499,1406,186444,532,winter,2016,feel.,Comedy,School,Unknown,18.414407629045847,Good,2.3154129875936067,0.1513317259289474,0.002853388398723484,Streaming Revolution
36425,Zhandou Wang Zhi Jufeng Zhan Hun 2,Infinity Nado 2,TV,Original,40,Finished Airing,24 min per ep,PG - Children,6.13,330,9406,15306,825,5,fall,2013,Alpha Animation,Action,None,Unknown,8.507142855562735,Average,2.4924471299093653,-0.839459717007098,0.006053268765133172,Streaming Revolution
36427,Zhandou Wang Zhi Jufeng Zhan Hun 3,Infinity Nado 3,TV,Original,40,Finished Airing,23 min per ep,PG - Children,6.09,358,9657,15327,820,5,fall,2015,Alpha Animation,Action,None,Unknown,8.501063809486354,Average,2.284122562674095,-0.885013346567376,0.0060901339829476245,Streaming Revolution
10793,Guilty Crown,Guilty Crown,TV,Original,22,Finished Airing,24 min per ep,R - 17+ (violence & profanity),7.4,654345,2434,119,1256434,17078,fall,2011,Production I.G,"Action, Drama, Sci-Fi","Mecha, Super Power",Unknown,23.789393025345063,Good,1.9201370528741675,0.6068680215317273,0.013592426189974013,Digital Boom Era
32032,Seikaisuru Kado,KADO: The Right Answer,TV,Original,12,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,6.72,42174,5895,2135,110624,186,spring,2017,Toei Animation,Sci-Fi,Adult Cast,Unknown,16.845000959575938,Average,2.6229756965026674,-0.16754368099299852,0.0016813559322033898,Global Expansion Era
42892,Baraou no Souretsu,Requiem of the Rose King,TV,Manga,24,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,6.38,13788,7970,2978,64273,399,winter,2022,J.C.Staff,"Action, Drama, Supernatural",Historical,Shoujo,17.06235946246079,Average,4.661179200812241,-0.5547495322553608,0.006207797865388804,Modern Renaissance
51037,Duel Masters King Max,Duel Masters King Max,TV,Original,17,Finished Airing,24 min per ep,G - All Ages,0.0,0,18235,15090,875,9,spring,2022,"Brain's Base, Shogakukan Music & Digital Entertainment","Action, Adventure, Comedy, Fantasy",Time Travel,Kids,9.07680897935166,Unscored,0.0,null,0.010273972602739725,Modern Renaissance
10856,Penguin no Mondai DX?,Penguin no Mondai DX?,TV,Unknown,52,Finished Airing,10 min per ep,G - All Ages,0.0,0,21399,18849,396,0,spring,2011,Shogakukan Music & Digital Entertainment,Comedy,None,Kids,5.981414211254481,Unscored,0.0,null,0.0,Digital Boom Era
46652,Duel Masters King!,Duel Masters King!,TV,Original,43,Finished Airing,24 min per ep,G - All Ages,0.0,0,18236,14454,1042,2,spring,2021,"Brain's Base, Shogakukan Music & Digital Entertainment","Action, Adventure, Comedy, Fantasy",None,Kids,8.047509510981422,Unscored,0.0,null,0.0019175455417066154,Modern Renaissance
10908,Kakko Kawaii Sengen! 2,Kakko Kawaii Sengen! 2,TV,Manga,10,Finished Airing,3 min per ep,PG-13 - Teens 13 or older,5.61,304,12038,14297,1085,2,summer,2011,Unknown,Comedy,None,Unknown,8.08794755464267,Below Average,3.557377049180328,-1.4316569012907108,0.001841620626151013,Digital Boom Era
38481,Toaru Kagaku no Railgun T,A Certain Scientific Railgun T,TV,Manga,25,Finished Airing,24 min per ep,R - 17+ (violence & profanity),8.14,100005,483,1035,258968,3312,winter,2020,J.C.Staff,"Action, Fantasy, Sci-Fi","Super Power, Urban Fantasy",Unknown,20.570069183224824,Excellent,2.589524628522289,1.4496101683968694,0.012789175538384902,Global Expansion Era
10997,Fujilog 2nd Season,Fujilog 2nd Season,TV,Unknown,13,Finished Airing,4 min per ep,PG-13 - Teens 13 or older,0.0,0,18439,17035,551,0,fall,2011,uzupiyo Animation & Digital Works,Comedy,None,Unknown,6.311734809152915,Unscored,0.0,null,0.0,Digital Boom Era
23201,Sengoku Basara: Judge End,Sengoku BASARA: End of Judgement,TV,Game,12,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,6.84,12286,5247,4366,30950,29,summer,2014,Telecom Animation Film,"Action, Fantasy","Historical, Martial Arts, Samurai",Unknown,13.741325659774898,Average,2.5189224383494753,-0.030882792312164554,9.369648799715679E-4,Streaming Revolution
23233,Shinmai Maou no Testament,The Testament of Sister New Devil,TV,Light novel,12,Finished Airing,23 min per ep,R+ - Mild Nudity,6.68,382288,6179,313,713590,2163,winter,2015,Production IMS,"Action, Supernatural, Ecchi",Harem,Unknown,21.157777486663203,Average,1.8666244647374106,-0.2130973105532765,0.003031148094636844,Streaming Revolution
23273,Shigatsu wa Kimi no Uso,Your Lie in April,TV,Manga,22,Finished Airing,22 min per ep,PG-13 - Teens 13 or older,8.64,1423173,80,24,2341392,88506,fall,2014,A-1 Pictures,"Drama, Romance","Love Polygon, Music, School",Shounen,26.05709310617596,Excellent,1.6451902578321413,2.0190305379003437,0.03780057427352008,Streaming Revolution
43229,Godzilla: S.P,Godzilla Singular Point,TV,Original,13,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,6.65,31164,6345,2787,72792,400,spring,2021,"Bones, Orange","Action, Award Winning, Mystery, Sci-Fi",Mecha,Unknown,17.189322765343096,Average,2.335697096101396,-0.24726253272348422,0.005495033863146182,Modern Renaissance
32301,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,Active Raid Second,TV,Original,12,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,6.31,8518,8400,5100,21750,12,summer,2016,Production IMS,"Action, Sci-Fi","Adult Cast, Mecha",Unknown,12.552318393978366,Average,2.553116562976875,-0.6344683839858476,5.516987724702312E-4,Streaming Revolution
38549,TV Yarou Nanaana,Wacky TV Na Na Na,TV,Original,24,Finished Airing,3 min per ep,PG-13 - Teens 13 or older,6.38,904,8000,11845,2207,8,spring,2018,Studio Crocodile,"Adventure, Comedy",Workplace,Unknown,9.896613983592957,Average,2.438674033149171,-0.5547495322553608,0.0036231884057971015,Global Expansion Era
